L, numx, numfour, numts, dt, num a0, model, opt success, val obj, num opt itr, opt time, l2 err, l-inf err, tot time
15.0, 1025, 32, 100, 0.002, 4, fourier, False, 8.46497460495837e-17, 656, 9438016817, 0.6665494114207398, 0.04565012881530173, 22407244315
15.0, 1025, 32, 105, 0.0019, 4, fourier, False, 6.615256075866825e-16, 627, 9378511282, 0.6665501848853039, 0.045650228760295564, 22293839829
15.0, 1025, 32, 111, 0.0018, 4, fourier, False, 9.249856294767882e-17, 647, 10013381957, 0.6665494116400728, 0.04565012899612597, 23584290399
15.0, 1025, 32, 117, 0.0017, 4, fourier, False, 7.072021419332429e-16, 618, 9887774874, 0.6665501674658122, 0.04565022732684709, 24023478351
15.0, 1025, 32, 125, 0.0016, 4, fourier, False, 1.0463817600493727e-16, 648, 10804322253, 0.6665494116534247, 0.04565012893994003, 25632220167
15.0, 1025, 32, 133, 0.0015, 4, fourier, False, 1.0823900627055156e-16, 637, 11127708588, 0.6665494119809249, 0.045650129266764816, 26988761982
15.0, 1025, 32, 142, 0.0014, 4, fourier, False, 1.1117791257153654e-16, 641, 11649342460, 0.6665494121461975, 0.04565012967967408, 27804994285
15.0, 1025, 32, 153, 0.0013, 4, fourier, False, 3.0044309575118855e-17, 659, 13360811541, 0.6665491337589821, 0.04565011835977928, 30291145198
15.0, 1025, 32, 166, 0.0012, 4, fourier, False, 4.6275154980215936e-15, 575, 11434594475, 0.6665468149016085, 0.04565004681411522, 29500871305
15.0, 1025, 32, 181, 0.0011, 4, fourier, False, 1.4268438556527966e-16, 617, 13797940062, 0.6665494118637144, 0.04565012958316528, 33469858205
15.0, 1025, 32, 200, 0.001, 4, fourier, False, 1.6459769197946237e-16, 616, 14884437321, 0.6665494114114429, 0.045650129092497105, 36341700434
15.0, 1025, 32, 66, 0.003, 4, fourier, False, 5.188395202180864e-17, 673, 7581328445, 0.6665494118675346, 0.04565012966939985, 17790677607
15.0, 1025, 32, 68, 0.0029, 4, fourier, False, 1.3032646740187453e-17, 712, 8181838163, 0.6665491225440323, 0.04565011739793556, 18513602110
15.0, 1025, 32, 71, 0.0028, 4, fourier, False, 4.4178923122015297e-16, 648, 7886368567, 0.6665501784839962, 0.04565022825010101, 18479855250
15.0, 1025, 32, 74, 0.0027, 4, fourier, False, 6.322563232342322e-17, 666, 8108655121, 0.6665494110750573, 0.045650128862121386, 18496355708
15.0, 1025, 32, 76, 0.0026, 4, fourier, False, 5.787212099478552e-17, 665, 8248810245, 0.6665494118718895, 0.0456501299740133, 19061594870
15.0, 1025, 32, 80, 0.0025, 4, fourier, False, 6.866510291536515e-17, 666, 8787569644, 0.666549410926453, 0.045650128900133424, 19824818390
15.0, 1025, 32, 83, 0.0024, 4, fourier, False, 2.388895497016656e-15, 616, 8064757965, 0.666546788643705, 0.04565004844968268, 19482486420
15.0, 1025, 32, 86, 0.0023, 4, fourier, False, 4.965891871531881e-16, 643, 8432626961, 0.6665501499065083, 0.04565022566645327, 20129403705
15.0, 1025, 32, 90, 0.0022, 4, fourier, False, 5.241970218783918e-16, 638, 9164009886, 0.6665501529444664, 0.04565022598568902, 21107578032
15.0, 1025, 32, 95, 0.0021, 4, fourier, False, 2.7516990445311897e-15, 615, 8530591510, 0.6665467810011909, 0.0456500487840239, 20852423038
15.0, 1025, 32, 100, 0.002, 4, cheby, False, 0.0903136794733265, 49, 1555363388, 25.97787172094363, 1.232871956114638, 23894677640
15.0, 1025, 32, 105, 0.0019, 4, cheby, False, 0.09429209500034977, 50, 1390027022, 25.97805019329672, 1.2328766549067351, 24063504810
15.0, 1025, 32, 111, 0.0018, 4, cheby, False, 0.0999021418233808, 50, 2171060767, 25.977968885225387, 1.2328745162333967, 25098897832
15.0, 1025, 32, 117, 0.0017, 4, cheby, False, 0.10428990082973189, 45, 1119635061, 25.978276722424287, 1.2328826199039673, 24978931816
15.0, 1025, 32, 125, 0.0016, 4, cheby, False, 0.11255778373341514, 45, 1297389718, 25.977936088827743, 1.2328736510382639, 24539625744
15.0, 1025, 32, 133, 0.0015, 4, cheby, False, 0.11908192597492151, 47, 1504153935, 25.97811446137032, 1.2328783472970328, 26763128310
15.0, 1025, 32, 142, 0.0014, 4, cheby, False, 0.12616545693767606, 43, 1222244222, 25.978357179354493, 1.2328847388505686, 26959632138
15.0, 1025, 32, 153, 0.0013, 4, cheby, False, 0.1359724970713164, 46, 1904090174, 25.97834089277638, 1.2328843100802773, 28482299325
15.0, 1025, 32, 166, 0.0012, 4, cheby, False, 0.14785588374416297, 42, 1236919276, 25.978259905579815, 1.2328821774681042, 28978957827
15.0, 1025, 32, 181, 0.0011, 4, cheby, False, 0.1609359917872167, 43, 1766549786, 25.97830832995234, 1.2328834525024002, 30887243711
15.0, 1025, 32, 200, 0.001, 4, cheby, False, 0.17929141336950258, 44, 2338235048, 25.978032809907862, 1.232876197657092, 32926050561
15.0, 1025, 32, 66, 0.003, 4, cheby, False, 0.05887464395163368, 51, 995058301, 25.978360316202764, 1.23288482030246, 20991769790
15.0, 1025, 32, 68, 0.0029, 4, cheby, False, 0.06013288291940842, 52, 884387987, 25.97863453796194, 1.2328920440821354, 20532592167
