L, numx, numfour, numts, dt, num a0, model, opt success, val obj, num opt itr, opt time, l2 err, l-inf err, tot time
15.0, 1025, 32, 100, 0.002, 4, fourier, False, 0.011234755726584772, 2271, 32778235047, 142.96186031296833, 11.610751828244979, 45495448104
15.0, 1025, 32, 105, 0.0019, 4, fourier, False, 0.011334073034519165, 1524, 22404288784, 53.318160246805114, 4.391958524007919, 35529811531
15.0, 1025, 32, 111, 0.0018, 4, fourier, False, 0.012402651784544971, 1087, 17277007683, 143.7673002802925, 11.669776098424663, 30638964055
15.0, 1025, 32, 117, 0.0017, 4, fourier, False, 0.012577617444795745, 1526, 24530247705, 53.62412422065111, 4.444238477429224, 38673580349
15.0, 1025, 32, 125, 0.0016, 4, fourier, False, 0.01395954649039525, 1046, 17600878988, 44.33259466773306, 3.5936309843146645, 32397320025
15.0, 1025, 32, 133, 0.0015, 4, fourier, False, 0.014881958283666997, 1848, 32307928998, 160.5881297173369, 13.043480329771967, 47957979769
15.0, 1025, 32, 142, 0.0014, 4, fourier, False, 0.016116880773541342, 1078, 19473351772, 92.77767425916412, 7.530992918033043, 34410929140
15.0, 1025, 32, 153, 0.0013, 4, fourier, False, 0.01724165709195355, 1032, 20173093992, 110.04106901621812, 8.932141923796067, 37172843067
15.0, 1025, 32, 166, 0.0012, 4, fourier, False, 0.018576526815819654, 1769, 35823211821, 144.08877722061507, 11.707385931642378, 54000820122
15.0, 1025, 32, 181, 0.0011, 4, fourier, False, 0.020666056466966103, 1196, 26014456522, 75.07619804478847, 6.092770052933702, 45458745379
15.0, 1025, 32, 200, 0.001, 4, fourier, False, 0.023065905206241997, 1454, 34756514056, 89.61203707431784, 7.301650581779917, 56035135447
15.0, 1025, 32, 66, 0.003, 4, fourier, False, 0.008176849293742508, 1209, 14028642527, 26.451937901068334, 2.1349502876452178, 24136994294
15.0, 1025, 32, 68, 0.0029, 4, fourier, False, 0.020151882473458258, 1424, 16883152299, 216.37628027887862, 17.565828978184385, 27231254588
15.0, 1025, 32, 71, 0.0028, 4, fourier, False, 0.007986070453149158, 1073, 13139286913, 126.90585528816958, 10.301089111405076, 23627122106
15.0, 1025, 32, 74, 0.0027, 4, fourier, False, 0.008060722345865814, 1035, 12645640516, 55.49801466078491, 4.509517093401243, 23427498854
15.0, 1025, 32, 76, 0.0026, 4, fourier, False, 0.008461814884574748, 1116, 13891193381, 179.68138334372486, 14.585039989368873, 24619657057
15.0, 1025, 32, 80, 0.0025, 4, fourier, False, 0.009101802890516566, 1084, 14287156983, 92.00180156441019, 7.468018286965069, 25375655747
