L, numx, numfour, numts, dt, num a0, model, opt success, val obj, num opt itr, opt time, l2 err, l-inf err, tot time
15.0, 1025, 32, 100, 0.002, 4, fourier, False, 16.0346919396047, 214, 3493875485, 216.4769203107214, 50.87278953788521, 16284513918
15.0, 1025, 32, 105, 0.0019, 4, fourier, False, 16.81989755691272, 215, 3627890747, 216.7307107533659, 50.95326176993892, 16610614443
15.0, 1025, 32, 111, 0.0018, 4, fourier, False, 17.782577191338184, 214, 3421195927, 216.615947331115, 50.91675756922235, 16884388237
15.0, 1025, 32, 117, 0.0017, 4, fourier, False, 18.71498157196344, 212, 4319206801, 217.04574382418278, 51.05474013627136, 18511385009
15.0, 1025, 32, 125, 0.0016, 4, fourier, False, 20.01815068016697, 196, 3502166754, 216.56966820284845, 50.902115897153536, 18260045597
15.0, 1025, 32, 133, 0.0015, 4, fourier, False, 21.278241261126627, 200, 4066229620, 216.82150738972933, 50.98235788812629, 19610650774
15.0, 1025, 32, 142, 0.0014, 4, fourier, False, 22.68902803313422, 198, 3897203612, 217.15589500314692, 51.09069947600348, 20085085041
15.0, 1025, 32, 153, 0.0013, 4, fourier, False, 24.442217011556547, 200, 4312667563, 217.13390741572152, 51.08351538771827, 21379596433
15.0, 1025, 32, 166, 0.0012, 4, fourier, False, 26.521573119482134, 192, 4755135310, 217.02335486408325, 51.047514259174534, 22924901171
15.0, 1025, 32, 181, 0.0011, 4, fourier, False, 28.90486495530952, 186, 4736483560, 217.08977483014257, 51.069125839508686, 24034382033
15.0, 1025, 32, 200, 0.001, 4, fourier, False, 31.968374416491724, 185, 4809677670, 216.70753117269422, 50.945951340789364, 26041736344
15.0, 1025, 32, 66, 0.003, 4, fourier, False, 10.587838778054373, 239, 3046276923, 217.15681141149298, 51.090773985957, 13130241660
15.0, 1025, 32, 68, 0.0029, 4, fourier, False, 10.893052110342968, 244, 3057881937, 217.52224995020856, 51.21190423118189, 13252111495
15.0, 1025, 32, 71, 0.0028, 4, fourier, False, 11.395110813374547, 239, 3158406058, 216.84483188798853, 50.98966701416916, 13697860122
15.0, 1025, 32, 74, 0.0027, 4, fourier, False, 11.888621186150983, 240, 3643125588, 216.4071762986755, 50.85075699045778, 14175238408
15.0, 1025, 32, 76, 0.0026, 4, fourier, False, 12.169727681944652, 234, 3445972169, 217.41608675406104, 51.17645205443979, 14239634713
15.0, 1025, 32, 80, 0.0025, 4, fourier, False, 12.847879837489659, 230, 3202457917, 216.36008096367303, 50.83602532143584, 14485609434
15.0, 1025, 32, 83, 0.0024, 4, fourier, False, 13.311377428717096, 227, 3333518548, 216.75378148551545, 50.96056225167826, 14610536354
15.0, 1025, 32, 86, 0.0023, 4, fourier, False, 13.761633140126179, 228, 3453977668, 217.39454345716624, 51.169327460595575, 15078492911
15.0, 1025, 32, 90, 0.0022, 4, fourier, False, 14.401135145551054, 257, 3584345133, 217.33013989954378, 51.14796738095538, 15544875196
15.0, 1025, 32, 95, 0.0021, 4, fourier, False, 15.22761726427699, 215, 3383478392, 216.68504242568258, 50.93867931209985, 15685462020
15.0, 1025, 32, 100, 0.002, 4, cheby, False, 197.22344787193867, 51, 1128833794, 713.1240598778852, 77.07622252107127, 23161302175
15.0, 1025, 32, 105, 0.0019, 4, cheby, False, 206.86672806101853, 57, 1951349140, 713.2082957005687, 77.10148352901967, 24542558126
15.0, 1025, 32, 111, 0.0018, 4, cheby, False, 218.71293750567577, 53, 1886822029, 713.1694123574574, 77.08995045807944, 24820273901
15.0, 1025, 32, 117, 0.0017, 4, cheby, False, 230.15715462125468, 52, 1330414923, 713.3256559843688, 77.1346046466164, 24988573866
15.0, 1025, 32, 125, 0.0016, 4, cheby, False, 246.21140615576581, 52, 1326269227, 713.1545409191439, 77.08541020213865, 25020051421
15.0, 1025, 32, 133, 0.0015, 4, cheby, False, 261.6924393530062, 49, 1184177473, 713.2411732140856, 77.1108974608021, 26181361335
15.0, 1025, 32, 142, 0.0014, 4, cheby, False, 279.02323995956533, 49, 1503397859, 713.3705162498229, 77.14671356073701, 27050201631
15.0, 1025, 32, 153, 0.0013, 4, cheby, False, 300.5843625677887, 46, 1105280458, 713.3615796259821, 77.14429857060405, 27637930427
15.0, 1025, 32, 166, 0.0012, 4, cheby, False, 326.1624750602375, 54, 2273249416, 713.3174523281083, 77.13226879975048, 29691262514
