L, numx, numfour, numts, dt, num a0, model, opt success, val obj, num opt itr, opt time, l2 err, l-inf err, tot time
15.0, 1025, 32, 100, 0.002, 4, fourier, False, 0.15767718730198865, 714, 10441840285, 32.14178499848591, 2.7789639053295083, 23162110273
15.0, 1025, 32, 105, 0.0019, 4, fourier, False, 0.267453578259766, 711, 10947506333, 93.48153913337498, 8.594963559157817, 23905689767
15.0, 1025, 32, 111, 0.0018, 4, fourier, False, 0.3690754258068018, 737, 11551065603, 39.75205227356622, 3.7264467023757444, 25125276480
15.0, 1025, 32, 117, 0.0017, 4, fourier, False, 0.3683109721338742, 767, 12613979607, 86.51825798528459, 8.07010757705984, 26697412105
15.0, 1025, 32, 125, 0.0016, 4, fourier, False, 0.26903015270694064, 886, 15274563543, 58.13472578985599, 5.315997351827516, 30035387140
15.0, 1025, 32, 133, 0.0015, 4, fourier, False, 0.2859355593830858, 827, 14516965721, 48.73015513051074, 4.188446858623006, 30098406353
15.0, 1025, 32, 142, 0.0014, 4, fourier, False, 0.4258956036493845, 669, 11993409446, 164.29078870456652, 14.185212333248932, 27848243613
15.0, 1025, 32, 153, 0.0013, 4, fourier, False, 0.2315434131990527, 820, 15899416732, 93.92292678892335, 8.280865212542645, 32780366857
15.0, 1025, 32, 166, 0.0012, 4, fourier, False, 0.3562619161839955, 698, 14628496754, 62.357462852236864, 5.796488216604529, 32774963342
15.0, 1025, 32, 181, 0.0011, 4, fourier, False, 0.5865474564030786, 704, 15270276170, 51.85623362757571, 5.122455563362708, 34552430102
15.0, 1025, 32, 200, 0.001, 4, fourier, False, 0.42883969145024603, 767, 18957554670, 65.19830787172934, 5.8652283399904555, 40096414594
15.0, 1025, 32, 66, 0.003, 4, fourier, False, 0.104581952227027, 861, 10530027086, 55.97989018281811, 4.823657329751645, 20672115222
15.0, 1025, 32, 68, 0.0029, 4, fourier, False, 0.17473185352755594, 780, 9242165708, 98.98864365160564, 9.233880963105788, 19562954034
15.0, 1025, 32, 71, 0.0028, 4, fourier, False, 0.22377411025380214, 787, 9360474170, 89.09761698161991, 8.09769988613585, 19842393134
15.0, 1025, 32, 74, 0.0027, 4, fourier, False, 0.2516050133772835, 713, 8917739723, 74.38216527709284, 6.509699049730226, 19597733792
15.0, 1025, 32, 76, 0.0026, 4, fourier, False, 0.24899877172745932, 929, 11639917386, 56.36057327228716, 4.815042458238748, 22521135404
15.0, 1025, 32, 80, 0.0025, 4, fourier, False, 0.1733284581349247, 905, 11440628354, 47.82189567646221, 4.6264142357368545, 22571136189
15.0, 1025, 32, 83, 0.0024, 4, fourier, False, 0.13004911420778473, 840, 11268695148, 14.01933737098023, 1.4024996286687195, 22515896423
15.0, 1025, 32, 86, 0.0023, 4, fourier, False, 0.19152114318155533, 882, 12099678655, 75.26025818252175, 7.29130605926313, 23711903578
15.0, 1025, 32, 90, 0.0022, 4, fourier, False, 0.2298634332355578, 804, 10959828373, 84.40403630825757, 7.8205672962091, 22903153828
15.0, 1025, 32, 95, 0.0021, 4, fourier, False, 0.15003552928342906, 749, 10761871227, 64.0888770048601, 5.765083870452029, 23185496321
15.0, 1025, 32, 100, 0.002, 4, cheby, False, 3.1849279774985896e-24, 66, 1573663617, 3.4346059229150974e-12, 4.1033842990145786e-13, 23722193954
15.0, 1025, 32, 105, 0.0019, 4, cheby, False, 4.031614803410568e-24, 66, 2206825276, 3.8146978192181516e-12, 4.1744385725905886e-13, 24668647470
15.0, 1025, 32, 111, 0.0018, 4, cheby, False, 4.452315387247604e-24, 74, 1862522971, 6.73707231394333e-12, 5.64631674748739e-13, 24784974935
15.0, 1025, 32, 117, 0.0017, 4, cheby, False, 5.755730084652632e-24, 69, 4205008897, 6.9490878869895575e-12, 4.901079542207754e-13, 26805479505
15.0, 1025, 32, 125, 0.0016, 4, cheby, False, 5.565967854380652e-24, 64, 2360258711, 7.85539429762194e-12, 6.323830348264892e-13, 26589645431
15.0, 1025, 32, 133, 0.0015, 4, cheby, False, 6.981549303649676e-24, 72, 3997788260, 5.9555890765018194e-12, 5.466738173254271e-13, 29198410413
15.0, 1025, 32, 142, 0.0014, 4, cheby, False, 8.915069404227211e-24, 61, 1988337816, 1.0595526474640253e-11, 7.411848912397545e-13, 27555076290
15.0, 1025, 32, 153, 0.0013, 4, cheby, False, 1.0009905521615916e-23, 75, 3948653045, 1.0702765612221383e-11, 9.078293672359905e-13, 30508994506
15.0, 1025, 32, 166, 0.0012, 4, cheby, False, 1.2799381630308578e-23, 69, 3071228998, 9.68788325269925e-12, 7.824851877558103e-13, 30828016594
15.0, 1025, 32, 181, 0.0011, 4, cheby, False, 1.9366589679716132e-23, 65, 3518515456, 1.1731268250824108e-11, 9.023892744153272e-13, 32453369908
15.0, 1025, 32, 200, 0.001, 4, cheby, False, 3.06655863093987e-23, 63, 2495266248, 1.400429889345174e-11, 8.623102232263591e-13, 33437674665
15.0, 1025, 32, 66, 0.003, 4, cheby, False, 9.420938278361222e-25, 73, 1768409320, 3.7745174937740245e-12, 2.220446049250313e-13, 21467686644
15.0, 1025, 32, 68, 0.0029, 4, cheby, False, 9.756908426579028e-25, 74, 2287009797, 3.203926153449005e-12, 3.588240815588506e-13, 22001077994
15.0, 1025, 32, 71, 0.0028, 4, cheby, False, 1.3780949183489514e-24, 69, 1434855488, 6.467376713968077e-12, 4.991562718714704e-13, 21572884687
15.0, 1025, 32, 74, 0.0027, 4, cheby, False, 1.3547912420217079e-24, 75, 1397194329, 1.1255082555079401e-11, 8.14071032806396e-13, 21599330643
15.0, 1025, 32, 76, 0.0026, 4, cheby, False, 1.3776456417307307e-24, 69, 1567000784, 5.1489844814259016e-12, 4.867217739956686e-13, 21951729423
15.0, 1025, 32, 80, 0.0025, 4, cheby, False, 1.4966233843840521e-24, 70, 1984259543, 4.946670811409474e-12, 3.4533487180965494e-13, 22619267485
15.0, 1025, 32, 83, 0.0024, 4, cheby, False, 1.6532105241088208e-24, 78, 2365228660, 8.623695582512811e-12, 6.910028105266974e-13, 23373488257
15.0, 1025, 32, 86, 0.0023, 4, cheby, False, 2.0635975989240498e-24, 74, 1856227825, 5.239826741821117e-12, 4.334310688136611e-13, 23073568734
15.0, 1025, 32, 90, 0.0022, 4, cheby, False, 2.241324692607986e-24, 74, 2602341373, 1.4277046258954152e-11, 9.018619184786303e-13, 24360981439
15.0, 1025, 32, 95, 0.0021, 4, cheby, False, 2.7282050222744107e-24, 74, 1698534301, 3.797609909119446e-12, 3.2374103398069565e-13, 23480179850
